Country;CPI score 2020;Rank 2020;Sources 2020;Standard error 2020;FREE;Political Rights RATING;Civil Liberties RATING;C1: Do the freely elected head of government and national legislative representatives determine the policies of the government;C2: Are safeguards against official corruption strong and effective?;C3: Does the government operate with openness and transparency?;C: FUNCTIONING OF GOVERNMENT;F1: Is there an independent judiciary?;;;;;;;;;;;;
Afghanistan;19;165;5;2,44;NF;5;6;1;1;1;3;1;;;;;;;;;;;;
Albania;36;104;8;0,92;PF;3;3;3;2;2;7;2;;;;;;;;;;;;
Algeria;36;104;7;1,48;NF;6;5;1;1;1;3;1;;;;;;;;;;;;
Angola;27;142;7;2,01;NF;6;5;1;1;0;2;1;;;;;;;;;;;;
Argentina;42;78;8;2,32;F;2;2;3;2;3;8;2;;;;;;;;;;;;
Armenia;49;60;6;3,50;PF;4;4;2;1;2;5;1;;;;;;;;;;;;
Australia;77;11;9;1,05;F;1;1;4;4;4;12;4;;;;;;;;;;;;
Austria;76;15;8;0,67;F;1;1;4;3;3;10;4;;;;;;;;;;;;
Azerbaijan;30;129;7;5,00;NF;7;6;0;0;0;0;0;;;;;;;;;;;;
Bahamas;63;30;3;5,80;F;1;1;4;3;3;10;4;;;;;;;;;;;;
Bahrain;42;78;6;5,91;NF;7;6;0;2;0;2;0;;;;;;;;;;;;
Bangladesh;26;146;8;1,72;PF;5;5;1;1;2;4;1;;;;;;;;;;;;
Barbados;64;29;4;5,47;F;1;1;4;3;3;10;4;;;;;;;;;;;;
Belarus;47;63;7;3,38;NF;7;6;0;1;1;2;0;;;;;;;;;;;;
Belgium;76;15;7;1,05;F;1;1;4;3;4;11;4;;;;;;;;;;;;
Benin;41;83;7;1,80;PF;4;2;2;2;3;7;2;;;;;;;;;;;;
Bhutan;68;24;4;2,39;PF;3;4;3;3;3;9;3;;;;;;;;;;;;
Bolivia;31;124;7;2,05;PF;3;3;3;2;2;7;1;;;;;;;;;;;;
Bosnia and Herzegovina;35;111;7;1,87;PF;4;4;2;1;1;4;1;;;;;;;;;;;;
Botswana;60;35;7;2,88;F;3;2;3;3;2;8;3;;;;;;;;;;;;
Brazil;38;94;8;2,50;F;2;2;3;2;2;7;3;;;;;;;;;;;;
Brunei Darussalam;60;35;3;5,59;NF;6;5;0;3;1;4;1;;;;;;;;;;;;
Bulgaria;44;69;10;1,29;F;2;2;4;2;3;9;3;;;;;;;;;;;;
Burkina Faso;40;86;8;1,62;PF;4;4;2;2;2;6;2;;;;;;;;;;;;
Burundi;19;165;6;3,74;NF;7;6;0;0;0;0;0;;;;;;;;;;;;
Cabo Verde;58;41;4;3,72;F;1;1;4;3;3;10;4;;;;;;;;;;;;
Cambodia;21;160;8;2,32;NF;7;5;0;1;1;2;0;;;;;;;;;;;;
Cameroon;25;149;9;1,36;NF;6;6;1;1;1;3;0;;;;;;;;;;;;
Canada;77;11;8;1,77;F;1;1;4;4;4;12;4;;;;;;;;;;;;
Central African Republic;26;146;5;0,93;NF;7;7;0;0;0;0;1;;;;;;;;;;;;
Chad;21;160;6;1,71;NF;7;6;1;0;0;1;0;;;;;;;;;;;;
Chile;67;25;9;1,23;F;1;2;4;3;4;11;4;;;;;;;;;;;;
China;42;78;8;1,63;NF;7;6;0;1;1;2;1;;;;;;;;;;;;
Colombia;39;92;8;1,59;PF;3;3;3;2;3;8;3;;;;;;;;;;;;
Comoros;21;160;4;5,75;PF;4;4;2;1;1;4;1;;;;;;;;;;;;
Congo;19;165;6;0,80;NF;7;5;0;0;0;0;0;;;;;;;;;;;;
Costa Rica;57;42;7;2,58;F;1;1;4;3;4;11;4;;;;;;;;;;;;
